title	type	country	release_date	added_date	rating	duration	genres	director	cast	imdb_score	imdb_votes
If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd	Movie	United States	2018	2021-09-07	TV-MA	97 min	Documentaries, Music & Musicals	Stephen Kijak	Ronnie Van Zandt, Gary Rossington, Allen Collins, Leon Wilkeson, Bob Burns, Billy Powell, Ed King, Artimus Pyle, Steve Gaines, Johnny Van Zant	7.9	1285
Kid Cosmic	TV Show	United States	2021	2021-09-07	TV-Y7	2 Seasons	Kids' TV, TV Comedies, TV Sci-Fi & Fantasy	NA	Jack Fisher, Tom Kenny, Amanda C. Miller, Kim Yarbrough, Keith Ferguson, Grey Griffin, Lily Rose Silver	7.9	1354
Octonauts: Above & Beyond	TV Show	United Kingdom	2021	2021-09-07	TV-Y	1 Season	British TV Shows, Kids' TV	NA	Antonio Aakeel, Chipo Chung, Simon Foster, Teresa Gallagher, Simon Greenall, Kate Harbour, Paul Panting, Rob Rackstraw, William Vanderpuye, Helen Walsh, Keith Wickham, Andres Williams, Jo Wyatt	7.4	66
On the Verge	TV Show	France, United States	2021	2021-09-07	TV-MA	1 Season	TV Comedies, TV Dramas	NA	Julie Delpy, Elisabeth Shue, Sarah Jones, Alexia Landeau, Mathieu Demy, Troy Garity, Timm Sharp, Giovanni Ribisi	6.5	2841
Tobot Galaxy Detectives	TV Show	NA	2019	2021-09-07	TV-Y7	2 Seasons	Kids' TV	NA	Austin Abell, Travis Turner, Cole Howard, Anna Cummer, Jesse Inocalla, Brian Dobson, Michael Adamthwaite, Joseph Girgis, Caitlyn Bairstow	7	13
Untold: Breaking Point	Movie	United States	2021	2021-09-07	TV-MA	80 min	Documentaries, Sports Movies	Chapman Way, Maclain Way	NA	7.6	2400
Countdown: Inspiration4 Mission to Space	TV Show	NA	2021	2021-09-06	TV-14	1 Season	Docuseries, Science & Nature TV	Jason Hehir	NA	7.9	1642
Shadow Parties	Movie	NA	2020	2021-09-06	TV-MA	117 min	Dramas, International Movies, Thrillers	Yemi Amodu	Jide Kosoko, Omotola Jalade-Ekeinde, Yemi Blaq, Sola Sobowale, Ken Erics, Toyin Aimakhu, Segun Arinze, Jibola Dabo, Rotimi Salami, Pa Jimi Solanke, Rachael Okonkwo, Bassey Okon, Lucien Morgan, Magdalena Korpas	6.2	9
Tayo the Little Bus	TV Show	South Korea	2016	2021-09-06	TV-Y	2 Seasons	Kids' TV, Korean TV Shows	NA	Robyn Slade, Kami Desilets	5.2	156
Angamaly Diaries	Movie	India	2017	2021-09-05	TV-14	128 min	Action & Adventure, Comedies, Dramas	Lijo Jose Pellissery	Antony Varghese, Reshma Rajan, Binny Rinky Benjamin, Vineeth Vishwam, Kichu Tellus, Sreekanth Dasan, Sarath Kumar, Tito Wilson, Anandhu, Bitto Davis, Sinoj Varghese	8	5901
Bunk'd	TV Show	United States	2021	2021-09-05	TV-G	5 Seasons	Kids' TV, TV Comedies	NA	Peyton List, Karan Brar, Skai Jackson, Miranda May, Kevin G. Quinn, Nathan Arenas, Nina Lu	NA	NA
A Champion Heart	Movie	United States	2018	2021-09-04	G	90 min	Children & Family Movies, Dramas	David de Vos	Mandy Grace, David de Vos, Donna Rusch, Devan Key, Isabella Mancuso, Ariana Guido	5.9	395
Dive Club	TV Show	Australia	2021	2021-09-03	TV-G	1 Season	Kids' TV, TV Dramas, Teen TV Shows	NA	Aubri Ibrag, Sana'a Shaik, Miah Madden, Mercy Cornwall, Georgia-May Davis, Ryan Harrison, Josh Heuston, Alexander Grant	6.2	789
La casa de papel	TV Show	Spain	2021	2021-09-03	TV-MA	5 Seasons	Crime TV Shows, International TV Shows, Spanish-Language TV Shows	NA	Úrsula Corberó, Itziar Ituño, Álvaro Morte, Paco Tous, Enrique Arce, Pedro Alonso, María Pedraza, Alba Flores, Miguel Herrán, Jaime Lorente, Esther Acebo, Darko Peric, Kiti Mánver	NA	NA
Money Heist: From Tokyo to Berlin	TV Show	NA	2021	2021-09-03	TV-MA	1 Season	Docuseries, International TV Shows, Spanish-Language TV Shows	Luis Alfaro, Javier Gómez Santander	NA	7.7	836
Sharkdog	TV Show	United States, Singapore	2021	2021-09-03	TV-Y	1 Season	Kids' TV	NA	Liam Mitchell, Dee Bradley Baker, Grey Griffin, Josh McDermitt, Kari Wahlgren, Judy Alice Lee, Ali Mawji	6.2	136
Worth	Movie	NA	2021	2021-09-03	PG-13	119 min	Dramas	Sara Colangelo	Michael Keaton, Stanley Tucci, Amy Ryan, Shunori Ramanathan, Ato Blankson-Wood, Tate Donovan, Laura Benanti, Chris Tardio	6.8	12745
Afterlife of the Party	Movie	NA	2021	2021-09-02	TV-PG	110 min	Comedies, Romantic Movies	Stephen Herek	Victoria Justice, Midori Francis, Robyn Scott, Adam Garcia, Timothy Renouf, Gloria Garcia, Myfanwy Waring, Spencer Sutherland	5.7	8223
Anjaam	Movie	India	1994	2021-09-02	TV-14	143 min	Dramas, International Movies, Thrillers	Rahul Rawail	Madhuri Dixit, Shah Rukh Khan, Tinnu Anand, Johny Lever, Kalpana Iyer, Himani Shivpuri, Sudha Chandran, Beena, Kiran Kumar	6.6	6465
Bright Star	Movie	United Kingdom, Australia, France	2009	2021-09-02	PG	119 min	Dramas, Romantic Movies	Jane Campion	Abbie Cornish, Ben Whishaw, Paul Schneider, Kerry Fox, Edie Martin, Thomas Brodie-Sangster, Claudie Blakley, Gerard Monaco, Antonia Campbell-Hughes, Samuel Roukin	NA	NA
Dhanak	Movie	India	2015	2021-09-02	TV-PG	114 min	Comedies, Dramas, Independent Movies	Nagesh Kukunoor	Krrish Chhabria, Hetal Gada, Vipin Sharma, Gulfam Khan, Suresh Menon, Vijay Maurya, Rajiv Lakshman, Ninad Kamat	7.9	3893
Final Account	Movie	United Kingdom, United States	2021	2021-09-02	PG-13	94 min	Documentaries	Luke Holland	NA	7.1	950
Gurgaon	Movie	India	2017	2021-09-02	TV-14	106 min	Dramas, International Movies, Thrillers	Shanker Raman	Akshay Oberoi, Pankaj Tripathi, Ragini Khanna, Aamir Bashir, Shalini Vatsa, Ashish Verma	6.5	2191
Here and There	Movie	NA	2020	2021-09-02	TV-MA	99 min	Dramas, International Movies, Romantic Movies	JP Habac	Janine Gutierrez, JC Santos, Victor Anastacio, Yesh Burce, Lotlot De Leon	6.6	48
Heroes of Goo Jit Zu	TV Show	Australia	2021	2021-09-02	TV-Y7	1 Season	Kids' TV, TV Comedies	NA	Jon Allen, Kellen Goff, Joe Hernandez, Kaiji Tang	7.5	23
Hotel Del Luna	TV Show	NA	2019	2021-09-02	TV-14	1 Season	International TV Shows, Romantic TV Shows, TV Comedies	NA	Lee Ji-eun, Yeo Jin-goo, Shin Jung-geun, Seo Yi-sook, Bae Hae-sun, Pyo Ji-hoon, Cho Hyun-chul, Kang Hong-suk, Lee Do-hyun, Lee Tae-seon, Kang Mina, Park You-na, Oh Ji-ho	8.2	7832
In the Cut	Movie	United Kingdom, Australia, France, United States	2003	2021-09-02	R	118 min	Thrillers	Jane Campion	Meg Ryan, Mark Ruffalo, Jennifer Jason Leigh, Nick Damici, Sharrieff Pugh, Kevin Bacon, Yaani King Mondschein, Heather Litteer	NA	NA
Luv Kushh	TV Show	NA	2012	2021-09-02	TV-Y7	1 Season	Kids' TV	NA	NA	NA	NA
Pororo - The Little Penguin	TV Show	South Korea	2013	2021-09-02	TV-Y7	3 Seasons	Kids' TV, Korean TV Shows	NA	NA	NA	NA
Q-Force	TV Show	United States	2021	2021-09-02	TV-MA	1 Season	Crime TV Shows, TV Action & Adventure, TV Comedies	NA	Sean Hayes, Wanda Sykes, Laurie Metcalf, David Harbour, Gary Cole, Patti Harrison, Matt Rogers	6.4	4963
Shikara	Movie	India	2020	2021-09-02	TV-14	115 min	Dramas, International Movies, Romantic Movies	Vidhu Vinod Chopra	Aadil Khan, Sadia Khateeb, Zain Khan Durrani, Priyanshu Chatterjee, Bhavna Chauhan, Ashwin Dhar, Farid Azad Khan, Saghar Sehrai	3.3	15026
A Cinderella Story	Movie	United States, Canada	2004	2021-09-01	PG	95 min	Children & Family Movies, Comedies	Mark Rosman	Hilary Duff, Chad Michael Murray, Jennifer Coolidge, Dan Byrd, Regina King, Julie Gonzalo, Lin Shaye, Madeline Zima, Andrea Avery, Mary Pat Gleason, Paul Rodriguez, Whip Hubley, Kevin Kilner, Erica Hubbard, Simon Helberg	5.9	86395
Agatha Christie's Crooked House	Movie	NA	2017	2021-09-01	PG-13	115 min	Dramas, International Movies, Thrillers	Gilles Paquet-Brenner	Glenn Close, Terence Stamp, Max Irons, Gillian Anderson, Christina Hendricks, Stefanie Martini, Julian Sands, Honor Kneafsey, Christian McKay, Amanda Abbington	NA	NA
An Unfinished Life	Movie	Germany, United States	2005	2021-09-01	PG-13	108 min	Dramas	Lasse Hallström	Robert Redford, Jennifer Lopez, Morgan Freeman, Josh Lucas, Damian Lewis, Camryn Manheim, Becca Gardner, Lynda Boyd, Rob Hayter, P. Lynn Johnson	NA	NA
Barbie Big City Big Dreams	Movie	NA	2021	2021-09-01	TV-Y	63 min	Children & Family Movies, Music & Musicals	Scott Pleydell-Pearce	America Young, Amber May, Giselle Fernandez, Alejandro Saab, Dinora Walcott	NA	NA
Blade Runner: The Final Cut	Movie	United States	1982	2021-09-01	R	117 min	Action & Adventure, Classic Movies, Cult Movies	Ridley Scott	Harrison Ford, Rutger Hauer, Sean Young, Edward James Olmos, M. Emmet Walsh, Daryl Hannah, William Sanderson, Brion James, Joe Turkel, Joanna Cassidy, James Hong, Morgan Paull	NA	NA
Brave Animated Series	TV Show	NA	2021	2021-09-01	TV-MA	1 Season	International TV Shows, TV Action & Adventure, TV Comedies	NA	Tseng Yun-fan, Kao Yun-shuo, Chiang Ching-yen, Meng Ching-fu, Huang Bai-wei, Ma Kuo-yao, Chen Yen-chun, Sun Ke-fang, Kai Yang-niu, Chen Yu-wen, Nick Liao, Lin Kai-ling, Mickey Huang, Liu Kuan-ting, Jiang Du-hui	NA	NA
Chappie	Movie	South Africa, United States	2015	2021-09-01	R	121 min	Action & Adventure, Sci-Fi & Fantasy	Neill Blomkamp	Sharlto Copley, Hugh Jackman, Sigourney Weaver, Dev Patel, Ninja, Yo-Landi Visser, Jose Pablo Cantillo, Brandon Auret, Johnny Selema, Maurice Carpede	6.8	247192
Clear and Present Danger	Movie	United States, Mexico	1994	2021-09-01	PG-13	142 min	Action & Adventure, Dramas	Phillip Noyce	Harrison Ford, Willem Dafoe, Anne Archer, Joaquim de Almeida, Henry Czerny, Harris Yulin, Donald Moffat, Miguel Sandoval, Benjamin Bratt, Dean Jones, Thora Birch, James Earl Jones, Raymond Cruz	NA	NA
Cliffhanger	Movie	United States, Italy, France, Japan	1993	2021-09-01	R	113 min	Action & Adventure	Renny Harlin	Sylvester Stallone, John Lithgow, Michael Rooker, Janine Turner, Rex Linn, Caroline Goodall, Leon, Craig Fairbrass, Ralph Waite, Max Perlich, Paul Winfield	6.5	128179
Cold Mountain	Movie	United States, Italy, Romania, United Kingdom	2003	2021-09-01	R	154 min	Dramas, Romantic Movies	Anthony Minghella	Jude Law, Nicole Kidman, Renée Zellweger, Eileen Atkins, Brendan Gleeson, Philip Seymour Hoffman, Natalie Portman, Giovanni Ribisi, Donald Sutherland, Ray Winstone	NA	NA
Crocodile Dundee in Los Angeles	Movie	Australia, United States	2001	2021-09-01	PG	95 min	Action & Adventure, Comedies	Simon Wincer	Paul Hogan, Linda Kozlowski, Jere Burns, Jonathan Banks, Aida Turturro, Alec Wilson, Gerry Skilton, Steve Rackman, Serge Cockburn, Paul Rodriguez, Mark Adair-Rios, Tiriel Mora, Grant Piro, Mike Tyson	NA	NA
Dear John	Movie	United States	2010	2021-09-01	PG-13	108 min	Dramas, Romantic Movies	Lasse Hallström	Channing Tatum, Amanda Seyfried, Richard Jenkins, Henry Thomas, D.J. Cotrona, Cullen Moss, Gavin McCulley, Jose Lucena Jr., Keith Robinson, Scott Porter	NA	NA
Do the Right Thing	Movie	United States	1989	2021-09-01	R	120 min	Classic Movies, Comedies, Dramas	Spike Lee	Danny Aiello, Ossie Davis, Ruby Dee, Richard Edson, Giancarlo Esposito, Spike Lee, Bill Nunn, John Turturro, Paul Benjamin, Frankie Faison, Samuel L. Jackson, Rosie Perez, Martin Lawrence, Miguel Sandoval	NA	NA
El patrón, radiografía de un crimen	Movie	Argentina, Venezuela	2014	2021-09-01	TV-MA	100 min	Dramas, International Movies, Thrillers	Sebastián Schindel	Joaquín Furriel, Luis Ziembrowski, Guillermo Pfening, Mónica Lairana, Germán de Silva, Victoria Raposo, Andrea Garrote	NA	NA
Extraction	Movie	United States, United Kingdom, Canada	2015	2021-09-01	R	82 min	Action & Adventure	Steven C. Miller	Bruce Willis, Kellan Lutz, Gina Carano, D.B. Sweeney, Joshua Mikel, Steve Coulter, Dan Bilzerian, Heather Johansen	4.1	11180
Extraction	Movie	United States, United Kingdom, Canada	2015	2021-09-01	R	82 min	Action & Adventure	Steven C. Miller	Bruce Willis, Kellan Lutz, Gina Carano, D.B. Sweeney, Joshua Mikel, Steve Coulter, Dan Bilzerian, Heather Johansen	6.7	192132
Freedom Writers	Movie	Germany, United States	2007	2021-09-01	PG-13	124 min	Dramas	Richard LaGravenese	Hilary Swank, Patrick Dempsey, Scott Glenn, Imelda Staunton, April L. Hernandez, Mario, Kristin Herrera, Jaclyn Ngan, Sergio Montalvo, Jason Finn, Deance Wyatt, Vanetta Smith	NA	NA
Green Lantern	Movie	United States	2011	2021-09-01	PG-13	114 min	Action & Adventure, Sci-Fi & Fantasy	Martin Campbell	Ryan Reynolds, Blake Lively, Peter Sarsgaard, Mark Strong, Tim Robbins, Jay O. Sanders, Taika Waititi, Angela Bassett	NA	NA
House Party	Movie	United States	1990	2021-09-01	R	104 min	Comedies, Cult Movies	Reginald Hudlin	Christopher Reid, Christopher Martin, Robin Harris, Tisha Campbell, A.J. Johnson, Martin Lawrence, Paul Anthony, Bowlegged Lou, B-Fine, Edith Fields, Kelly Jo Minter, Clifton Powell, Verda Bridges	NA	NA
House Party 2	Movie	United States	1991	2021-09-01	R	94 min	Comedies, Cult Movies, Music & Musicals	George Jackson, Doug McHenry	Christopher Reid, Christopher Martin, Martin Lawrence, Bowlegged Lou, Paul Anthony, B-Fine, Tisha Campbell, Kamron, Iman, Queen Latifah	NA	NA
House Party 3	Movie	United States	1994	2021-09-01	R	94 min	Comedies, Music & Musicals	Eric Meza	Christopher Reid, Christopher Martin, Tisha Campbell, David Edwards, Angela Means, Ketty Lester, Bernie Mac, Michael Colyar, Chris Tucker, Khandi Alexander	NA	NA
How to Be a Cowboy	TV Show	NA	2021	2021-09-01	TV-PG	1 Season	Reality TV	NA	NA	NA	NA
HQ Barbers	TV Show	NA	2020	2021-09-01	TV-14	1 Season	TV Shows	Gerhard Mostert	Hakeem Kae-Kazim, Chioma Omeruah, Orukotan Adejola, Flora Chiedo, Emeka Nwagbaraocha, Anthony Oseyemi, Oluwabukola Thomas, Soibifaa Dokubo	NA	NA
I Got the Hook Up	Movie	United States	1998	2021-09-01	R	93 min	Action & Adventure, Comedies	Michael Martin	Master P, Anthony Johnson, Gretchen Palmer, Frantz Turner, Richard Keats, Joe Estevez, William Knight, Anthony Boswell, Tommy 'Tiny' Lister, Helen Martin, John Witherspoon, Mia X	NA	NA
In Too Deep	Movie	United States	1999	2021-09-01	R	97 min	Thrillers	Michael Rymer	Omar Epps, LL Cool J, Nia Long, Stanley Tucci, Pam Grier, Hill Harper, Jake Weber, David Patrick Kelly, Veronica Webb, Ron Canada, Robert LaSardo, Gano Grills, Ivonne Coll, Don Harvey, Mya, Nasir 'Nas' Jones, Jermaine Dupri	NA	NA
Initial D	Movie	China, Hong Kong	2005	2021-09-01	TV-14	109 min	Action & Adventure, International Movies	Andrew Lau Wai-keung, Alan Mak	Jay Chou, Anne Suzuki, Edison Chen, Anthony Wong Chau-sang, Shawn Yue, Chapman To, Jordan Chan, Kenny Bee	6.3	8536
Janoskians: Untold and Untrue	Movie	United States	2016	2021-09-01	TV-MA	88 min	Comedies	Brett Weiner	Jai Brooks, Luke Brooks, James Yammouni, Daniel Sahyounie, Beau Brooks	3.7	160
Kid-E-Cats	TV Show	Russia	2016	2021-09-01	TV-Y	2 Seasons	Kids' TV	NA	Lori Gardner, Kate Bristol, Billy Bob Thompson, Marc Thompson, Erica Schroeder	NA	NA
Kuroko's Basketball	TV Show	Japan	2015	2021-09-01	TV-MA	3 Seasons	Anime Series, International TV Shows, Teen TV Shows	NA	Kensho Ono, Yuki Ono, Chiwa Saito, Yoshimasa Hosoya, Hirofumi Nojima, Kenji Hamada, Takuya Eguchi, Soichiro Hoshi, Tatsuhisa Suzuki, Go Inoue, Daisuke Ono, Ryohei Kimura, Junichi Suwabe, Kazuya Nakai, Fumiko Orikasa, Kenichi Suzumura, Kisho Taniyama, Hiroshi Kamiya	8.3	8052
Labyrinth	Movie	United Kingdom, United States	1986	2021-09-01	PG	101 min	Action & Adventure, Children & Family Movies, Cult Movies	Jim Henson	David Bowie, Jennifer Connelly, Frank Oz, Kevin Clash, Anthony Asbury, Dave Goelz, Brian Henson, Ron Mueck, Karen Prell, Shari Weiser	NA	NA
Letters to Juliet	Movie	United States	2010	2021-09-01	PG	105 min	Comedies, Dramas, Romantic Movies	Gary Winick	Amanda Seyfried, Christopher Egan, Gael García Bernal, Vanessa Redgrave, Franco Nero, Luisa Ranieri, Marina Massironi, Milena Vukotic, Marcia DeBonis, Luisa De Santis, Lidia Biondi, Giordano Formenti, Chris Egan	NA	NA
Level 16	Movie	Canada	2018	2021-09-01	TV-14	102 min	Sci-Fi & Fantasy, Thrillers	Danishka Esterhazy	Katie Douglas, Celina Martin, Peter Outerbridge, Sara Canning, Alexis Whelan, Amalia Williamson, Josette Halpert, Kiana Madeira	6	11118
Love Don't Cost a Thing	Movie	United States	2003	2021-09-01	PG-13	101 min	Comedies, Romantic Movies	Troy Byer	Nick Cannon, Christina Milian, Kenan Thompson, Kal Penn, Steve Harvey, Al Thompson, Ashley Monique Clark, Elimu Nelson, Nichole Robinson, Melissa Schuman	NA	NA
Love in a Puff	Movie	Hong Kong	2010	2021-09-01	TV-MA	103 min	Comedies, Dramas, International Movies	Pang Ho-cheung	Miriam Chin Wah Yeung, Shawn Yue, Singh Hartihan Bitto, Isabel Chan, Cheung Tat-ming, Matt Chow, Chui Tien-you, Queenie Chu, Charmaine Fong, Vincent Kok	7.1	2558
Major Dad	TV Show	United States	1992	2021-09-01	TV-PG	4 Seasons	TV Comedies	NA	Gerald McRaney, Shanna Reed, Nicole Dubuc, Chelsea Hertford, Marisa Ryan, Matt Mulhern, Beverly Archer, Jon Cypher	6.4	2866
Mars Attacks!	Movie	United States	1996	2021-09-01	PG-13	106 min	Comedies, Cult Movies, Sci-Fi & Fantasy	Tim Burton	Jack Nicholson, Glenn Close, Annette Bening, Pierce Brosnan, Danny DeVito, Martin Short, Sarah Jessica Parker, Michael J. Fox, Rod Steiger, Tom Jones, Lukas Haas, Natalie Portman	NA	NA
Marshall	Movie	United States, China, Hong Kong	2017	2021-09-01	PG-13	118 min	Dramas	Reginald Hudlin	Chadwick Boseman, Josh Gad, Kate Hudson, Sterling K. Brown, Dan Stevens, James Cromwell, Keesha Sharp, Roger Guenveur Smith, Derrick Baskin, Barrett Doss	NA	NA
My Boss's Daughter	Movie	United States	2003	2021-09-01	R	86 min	Comedies, Romantic Movies	David Zucker	Ashton Kutcher, Tara Reid, Jeffrey Tambor, Andy Richter, Michael Madsen, Jon Abrahams, David Koechner, Carmen Electra, Kenan Thompson, Terence Stamp, Molly Shannon	NA	NA
Mystery Men	Movie	United States	1999	2021-09-01	PG-13	121 min	Action & Adventure, Comedies	Kinka Usher	Ben Stiller, Hank Azaria, William H. Macy, Janeane Garofalo, Kel Mitchell, Paul Reubens, Wes Studi, Greg Kinnear, Geoffrey Rush, Lena Olin, Eddie Izzard, Artie Lange, Pras, Claire Forlani, Tom Waits	NA	NA
Oldsters	TV Show	NA	2019	2021-09-01	TV-MA	1 Season	Crime TV Shows, International TV Shows, Spanish-Language TV Shows	NA	Patricio Contreras, Alejandro Goic, Sergio Hernández, Mariana Loyola Ruz, Alejandro Trejo, Daniel Alcaíno Cuevas, Nicolás Poblete, Susana Hidalgo, Gloria Münchmeyer	NA	NA
Once Upon a Time in America	Movie	Italy, United States	1984	2021-09-01	R	229 min	Classic Movies, Dramas	Sergio Leone	Robert De Niro, James Woods, Elizabeth McGovern, Treat Williams, Tuesday Weld, Burt Young, Joe Pesci, Danny Aiello, William Forsythe, James Hayden	8.3	342335
Open Season 2	Movie	United States, Canada	2008	2021-09-01	PG	76 min	Children & Family Movies, Comedies	Matthew O'Callaghan, Todd Wilderman	Joel McHale, Mike Epps, Jane Krakowski, Billy Connolly, Crispin Glover, Steve Schirripa, Georgia Engel, Diedrich Bader, Cody Cameron, Fred Stoller, Olivia Hack	NA	NA
Osmosis Jones	Movie	United States	2001	2021-09-01	PG	95 min	Action & Adventure, Children & Family Movies, Comedies	Bobby Farrelly, Peter Farrelly	Chris Rock, Laurence Fishburne, David Hyde Pierce, Brandy Norwood, William Shatner, Ron Howard, Kid Rock, Ben Stein	6.3	35711
Poseidon	Movie	United States	2006	2021-09-01	PG-13	98 min	Action & Adventure, Dramas	Wolfgang Petersen	Josh Lucas, Kurt Russell, Jacinda Barrett, Richard Dreyfuss, Emmy Rossum, Mía Maestro, Mike Vogel, Kevin Dillon, Freddy Rodríguez	NA	NA
Rhyme & Reason	Movie	United States	1997	2021-09-01	R	89 min	Documentaries, Music & Musicals	Peter Spirer	Too $hort, B-Real, Kurtis Blow, Da Brat, Grandmaster Caz, Sean "P. Diddy" Combs, Chuck D., Desiree Densiti, Dr. Dre, E-40, MC Eiht, Heavy D, Lauryn Hill, Ice-T, Wyclef Jean, Ras Kass, KRS-One, L.V., Mack 10, Craig Mack, Method Man, Keith Murray, Nasir 'Nas' Jones, The Notorious B.I.G., Master P, Q-Tip, Raekwon, Redman, Senen Reyes, Busta Rhymes, RZA, DJ Scratch, Erick Sermon, Tupac Shakur, Adario Strange, Suave	NA	NA
Same Kind of Different as Me	Movie	United States	2017	2021-09-01	PG-13	120 min	Dramas, Faith & Spirituality	Michael Carney	Greg Kinnear, Renée Zellweger, Djimon Hounsou, Jon Voight, Olivia Holt	NA	NA
School of Rock	Movie	United States, Germany	2003	2021-09-01	PG-13	110 min	Comedies, Music & Musicals	Richard Linklater	Jack Black, Joan Cusack, Mike White, Sarah Silverman, Lee Wilkof, Kate McGregor-Stewart, Adam Pascal, Suzzanne Douglas, Miranda Cosgrove, Kevin Alexander Clark, Joey Gaydos Jr., Robert Tsai, Veronica Afflerbach, Jordan-Claire Green	NA	NA
Snervous Tyler Oakley	Movie	United States	2015	2021-09-01	PG-13	83 min	Documentaries, LGBTQ Movies	Amy Rice	Tyler Oakley	5.4	473
Tears of the Sun	Movie	United States	2003	2021-09-01	R	121 min	Action & Adventure, Dramas	Antoine Fuqua	Bruce Willis, Monica Bellucci, Cole Hauser, Eamonn Walker, Johnny Messner, Nick Chinlund, Charles Ingram, Paul Francis, Chad Smith, Tom Skerritt, Malick Bowens, Awaovieyi Agie	6.6	121066
The Blue Lagoon	Movie	United States	1980	2021-09-01	R	105 min	Dramas, Romantic Movies	Randal Kleiser	Brooke Shields, Christopher Atkins, Leo McKern, William Daniels, Elva Josephson, Glenn Kohan, Alan Hopgood, Gus Mercurio	5.8	69053
The Golden Child	Movie	United States	1986	2021-09-01	PG-13	94 min	Action & Adventure, Comedies	Michael Ritchie	Eddie Murphy, J.L. Reate, Charles Dance, Charlotte Lewis, Victor Wong, Randall Tex Cobb, James Hong, Shakti Chen, Tau Logo, Tiger Chung Lee	NA	NA
The Guns of Navarone	Movie	United Kingdom, United States	1961	2021-09-01	TV-14	156 min	Action & Adventure, Classic Movies	J. Lee Thompson	Gregory Peck, David Niven, Anthony Quinn, Stanley Baker, Anthony Quayle, James Darren, Irene Papas, Gia Scala, James Robertson Justice, Richard Harris	7.5	50150
The Interview	Movie	United States	2014	2021-09-01	R	112 min	Action & Adventure, Comedies	Evan Goldberg, Seth Rogen	James Franco, Seth Rogen, Lizzy Caplan, Randall Park, Diana Bang, Timothy Simons, Reese Alexander, James Yi	NA	NA
The Nutty Professor	Movie	United States	1996	2021-09-01	PG-13	95 min	Comedies, Romantic Movies	Tom Shadyac	Eddie Murphy, Jada Pinkett Smith, James Coburn, Larry Miller, Dave Chappelle, John Ales, Patricia Wilson, Jamal Mixon	NA	NA
